x_map,y_map,v_target,kappa,s
3.4353,-13.4785,4.0308,-0.0365,22.2479
3.4980,-13.3920,3.9718,-0.0332,22.3551
3.5611,-13.3059,3.9120,-0.0266,22.4622
3.6245,-13.2198,3.8513,-0.0184,22.5693
3.6882,-13.1338,3.7896,-0.0093,22.6764
3.7520,-13.0479,3.7270,0.0009,22.7836
3.8160,-12.9617,3.6631,0.0141,22.8909
3.8799,-12.8754,3.5981,0.0320,22.9984
3.9437,-12.7885,3.5317,0.0575,23.1062
4.0075,-12.7012,3.4639,0.0919,23.2150
4.0716,-12.6126,3.3942,0.1340,23.3247
4.1355,-12.5221,3.3223,0.1843,23.4353
4.1989,-12.4291,3.2483,0.2427,23.5462
4.2598,-12.3335,3.1723,0.3069,23.6573
4.3181,-12.2353,3.0942,0.3741,23.7681
4.3722,-12.1346,3.0145,0.4411,23.8781
4.4214,-12.0315,2.9330,0.5060,23.9870
4.4643,-11.9263,2.8502,0.5691,24.0947
4.5006,-11.8194,2.7658,0.6257,24.2008
4.5291,-11.7112,2.6801,0.6683,24.3052
4.5493,-11.6025,2.6036,0.7081,24.4085
4.5607,-11.4936,2.5397,0.7442,24.5106
4.5634,-11.3853,2.5338,0.7477,24.6125
4.5580,-11.2776,2.5794,0.7215,24.7128
4.5449,-11.1714,2.6547,0.6811,24.8140
4.5183,-11.0672,2.7537,0.6330,24.9182
4.4851,-10.9638,2.8650,0.5822,25.0237
4.4460,-10.8618,2.9734,0.5168,25.1300
4.4019,-10.7615,3.0787,0.4391,25.2371
4.3530,-10.6629,3.1814,0.3781,25.3450
4.2998,-10.5663,3.2816,0.3312,25.4534
4.2434,-10.4714,3.3792,0.2863,25.5620
4.1839,-10.3785,3.4743,0.2429,25.6710
4.1223,-10.2872,3.5672,0.2042,25.7800
4.0589,-10.1972,3.6577,0.1706,25.8892
3.9941,-10.1086,3.7462,0.1278,25.9983
3.9281,-10.0208,3.8326,0.0756,26.1075
3.8611,-9.9340,3.9171,0.0348,26.2165
3.7934,-9.8482,3.9997,0.0040,26.3259
3.7253,-9.7630,4.0810,-0.0283,26.4351
3.6628,-9.6741,4.1605,-0.0634,26.5438
3.6004,-9.5851,4.2381,-0.0995,26.6524
3.5390,-9.4960,4.3143,-0.1229,26.7608
3.4785,-9.4065,4.3890,-0.1334,26.8691
3.4196,-9.3162,4.4624,-0.1514,26.9773
3.3623,-9.2250,4.5346,-0.1761,27.0854
3.3069,-9.1329,4.6056,-0.1956,27.1935
3.2535,-9.0397,4.6754,-0.2102,27.3015
3.2026,-8.9454,4.6250,-0.2215,27.4095
3.1540,-8.8497,4.5734,-0.2295,27.5175
3.1078,-8.7529,4.5395,-0.2329,27.6254
3.0643,-8.6551,4.5569,-0.2312,27.7334
3.0232,-8.5560,4.6160,-0.2253,27.8415
2.9846,-8.4558,4.6857,-0.2176,27.9497
2.9486,-8.3546,4.7545,-0.2092,28.0581
2.9148,-8.2524,4.8223,-0.1995,28.1665
2.8830,-8.1492,4.8894,-0.1879,28.2751
2.8531,-8.0454,4.9555,-0.1769,28.3838
2.8253,-7.9410,5.0209,-0.1683,28.4926
2.7995,-7.8359,5.0855,-0.1607,28.6013
2.7753,-7.7303,5.1492,-0.1531,28.7101
2.7529,-7.6244,5.2122,-0.1447,28.8189
2.7322,-7.5180,5.2745,-0.1362,28.9278
2.7132,-7.4112,5.3361,-0.1293,29.0367
2.6955,-7.3042,5.3970,-0.1222,29.1457
2.6793,-7.1969,5.4572,-0.1139,29.2546
2.6643,-7.0894,5.5167,-0.1063,29.3636
2.6507,-6.9815,5.5757,-0.0997,29.4726
2.6382,-6.8735,5.6340,-0.0940,29.5815
2.6268,-6.7655,5.6917,-0.0888,29.6905
2.6165,-6.6573,5.7489,-0.0834,29.7996
2.6070,-6.5489,5.8055,-0.0783,29.9086
2.5984,-6.4405,5.8616,-0.0739,30.0176
2.5908,-6.3319,5.9171,-0.0707,30.1266
2.5840,-6.2234,5.9721,-0.0681,30.2355
2.5781,-6.1148,5.9887,-0.0649,30.3445
2.5727,-6.0062,5.9485,-0.0620,30.4534
2.5681,-5.8975,5.9081,-0.0602,30.5624
2.5643,-5.7889,5.8674,-0.0595,30.6714
2.5611,-5.6801,5.8264,-0.0595,30.7804
2.5586,-5.5714,5.7851,-0.0589,30.8893
2.5568,-5.4626,5.7435,-0.0588,30.9983
2.5557,-5.3538,5.7016,-0.0601,31.1073
2.5553,-5.2451,5.6594,-0.0613,31.2162
2.5556,-5.1363,5.6169,-0.0630,31.3253
2.5566,-5.0274,5.5740,-0.0656,31.4342
