# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.6230,-0.4239,0.5968,0.5968
-1.6414,-0.3491,0.6015,0.6015
-1.6617,-0.2748,0.6060,0.6060
-1.6851,-0.2013,0.6070,0.6070
-1.7095,-0.1281,0.6068,0.6068
-1.7388,-0.0569,0.6029,0.6029
-1.7632,0.0163,0.6002,0.6002
-1.7925,0.0876,0.5941,0.5941
-1.8194,0.1598,0.5888,0.5888
-1.8462,0.2320,0.5839,0.5839
-1.8725,0.3045,0.5795,0.5795
-1.8999,0.3765,0.5747,0.5747
-1.9257,0.4491,0.5707,0.5707
-1.9536,0.5209,0.5646,0.5646
-1.9780,0.5941,0.5622,0.5622
-2.0024,0.6673,0.5590,0.5590
-2.0262,0.7406,0.5556,0.5556
-2.0461,0.8151,0.5560,0.5560
-2.0702,0.8883,0.5541,0.5541
-2.0898,0.9628,0.5561,0.5561
-2.1141,1.0360,0.5540,0.5540
-2.1335,1.1106,0.5566,0.5566
-2.1579,1.1838,0.5559,0.5559
-2.1823,1.2569,0.5569,0.5569
-2.2067,1.3301,0.5606,0.5606
-2.2292,1.4038,0.5617,0.5617
-2.2504,1.4779,0.5656,0.5656
-2.2731,1.5515,0.5668,0.5668
-2.2899,1.6268,0.5677,0.5677
-2.3118,1.7007,0.5701,0.5701
-2.3286,1.7760,0.5710,0.5710
-2.3453,1.8513,0.5692,0.5692
-2.3620,1.9266,0.5701,0.5701
-2.3788,2.0019,0.5752,0.5752
-2.3955,2.0772,0.5827,0.5827
-2.4049,2.1537,0.5858,0.5858
-2.4182,2.2296,0.5930,0.5930
-2.4350,2.3049,0.6028,0.6028
-2.4468,2.3810,0.6068,0.6068
-2.4553,2.4577,0.6068,0.6068
-2.4638,2.5343,0.6068,0.6068
-2.4751,2.6105,0.6096,0.6096
-2.4863,2.6868,0.6144,0.6144
-2.4948,2.7634,0.6205,0.6205
-2.5092,2.8391,0.6342,0.6342
-2.5260,2.9144,0.6510,0.6510
-2.5427,2.9897,0.6677,0.6677
-2.5562,3.0656,0.6812,0.6812
-2.5708,3.1412,0.6933,0.6933
-2.5876,3.2165,0.7078,0.7078
-2.5981,3.2928,0.7129,0.7129
-2.6066,3.3695,0.7137,0.7137
-2.6151,3.4462,0.7138,0.7138
-2.6236,3.5228,0.7138,0.7138
-2.6250,3.5999,0.7092,0.7092
-2.6296,3.6768,0.7073,0.7073
-2.6382,3.7534,0.7131,0.7131
-2.6467,3.8301,0.7210,0.7210
-2.6552,3.9068,0.7295,0.7295
-2.6637,3.9834,0.7380,0.7380
-2.6722,4.0601,0.7465,0.7465
-2.6748,4.1371,0.7502,0.7502
-2.6663,4.2137,0.7587,0.7587
-2.6577,4.2904,0.7673,0.7673
-2.6458,4.3665,0.7784,0.7784
-2.6290,4.4418,0.7913,0.7913
-2.6123,4.5171,0.8014,0.8014
-2.5903,4.5910,0.8154,0.8154
-2.5704,4.6654,0.8241,0.8241
-2.5457,4.7384,0.8340,0.8340
-2.5167,4.8098,0.8448,0.8448
-2.4878,4.8812,0.8547,0.8547
-2.4565,4.9517,0.8658,0.8658
-2.4251,5.0222,0.8743,0.8743
-2.3888,5.0902,0.8854,0.8854
-2.3495,5.1565,0.8991,0.8991
