x_map,y_map,v_target,kappa,s
1.2203,-15.0655,1.7703,1.5317,19.2536
1.2840,-15.1065,1.7209,1.6208,19.3227
1.3460,-15.1369,1.7029,1.6552,19.3882
1.4084,-15.1572,1.7032,1.6547,19.4566
1.4756,-15.1699,1.7211,1.6204,19.5307
1.5495,-15.1754,1.7695,1.5329,19.6101
1.6288,-15.1728,1.8687,1.3745,19.6949
1.7127,-15.1606,1.9943,1.2069,19.7846
1.7996,-15.1382,2.1119,1.0762,19.8794
1.8884,-15.1053,2.2362,0.9599,19.9781
1.9775,-15.0627,2.3649,0.8467,20.0799
2.0655,-15.0114,2.4907,0.7375,20.1844
2.1515,-14.9522,2.6135,0.6366,20.2908
2.2351,-14.8864,2.7329,0.5486,20.3985
2.3157,-14.8149,2.8487,0.4704,20.5072
2.3934,-14.7389,2.9610,0.4003,20.6167
2.4684,-14.6591,3.0699,0.3374,20.7264
2.5407,-14.5766,3.1753,0.2808,20.8363
2.6107,-14.4919,3.2775,0.2312,20.9461
2.6785,-14.4055,3.3765,0.1872,21.0561
2.7448,-14.3178,3.4729,0.1469,21.1656
2.8095,-14.2293,3.5662,0.1096,21.2751
2.8731,-14.1402,3.6572,0.0767,21.3843
2.9357,-14.0508,3.7457,0.0492,21.4933
2.9979,-13.9613,3.8320,0.0245,21.6018
3.0597,-13.8721,3.9160,0.0028,21.7102
3.1217,-13.7832,3.9982,-0.0137,21.8182
3.1835,-13.6946,4.0784,-0.0250,21.9259
3.2455,-13.6066,4.1464,-0.0322,22.0334
3.3078,-13.5190,4.0890,-0.0360,22.1407
3.3704,-13.4317,4.0308,-0.0365,22.2479
3.4333,-13.3449,3.9718,-0.0332,22.3551
3.4966,-13.2585,3.9120,-0.0266,22.4622
3.5602,-13.1723,3.8513,-0.0184,22.5693
3.6239,-13.0862,3.7896,-0.0093,22.6764
3.6878,-13.0002,3.7270,0.0009,22.7836
3.7517,-12.9141,3.6631,0.0141,22.8909
3.8155,-12.8279,3.5981,0.0320,22.9984
3.8792,-12.7412,3.5317,0.0575,23.1062
3.9428,-12.6542,3.4639,0.0919,23.2150
4.0065,-12.5661,3.3942,0.1340,23.3247
