x_map,y_map,v_target,kappa,s
-2.3268,-7.5907,3.6154,0.765050,13.0136
-2.4012,-7.5660,3.6511,0.750162,13.0920
-2.4740,-7.5370,3.6756,0.740207,13.1704
-2.5450,-7.5038,3.6577,0.747455,13.2488
-2.6139,-7.4666,3.7256,0.720445,13.3272
-2.6806,-7.4255,3.7526,0.710136,13.4056
-2.7450,-7.3807,3.7738,0.702188,13.4840
-2.8067,-7.3325,3.8321,0.680965,13.5624
-2.8659,-7.2810,3.8610,0.670803,13.6408
-2.9222,-7.2266,3.9308,0.647202,13.7192
-2.9757,-7.1693,3.9788,0.631670,13.7975
-3.0263,-7.1094,4.0569,0.600641,13.8759
-3.0740,-7.0473,4.0811,0.600409,13.9543
-3.1188,-6.9829,4.1295,0.586408,14.0327
-3.1605,-6.9166,4.2048,0.563963,14.1111
-3.1993,-6.8485,4.2787,0.544008,14.1895
-3.2351,-6.7788,4.3210,0.535580,14.2679
-3.2680,-6.7076,4.3331,0.532594,14.3463
-3.2979,-6.6351,4.4049,0.501489,14.4247
-3.3249,-6.5616,4.3690,0.523874,14.5031
-3.3489,-6.4869,4.4402,0.496627,14.5815
-3.3699,-6.4114,4.5103,0.487361,14.6599
-3.3881,-6.3352,4.5180,0.489899,14.7383
-3.4033,-6.2583,4.5869,0.466268,14.8167
-3.4157,-6.1809,4.5492,0.483202,14.8951
-3.4251,-6.1030,4.6090,0.470752,14.9735
-3.4317,-6.0249,4.5879,0.475092,15.0519
-3.4353,-5.9466,4.6557,0.457418,15.1303
-3.4362,-5.8682,4.7084,0.451071,15.2087
-3.4343,-5.7899,4.6984,0.452994,15.2871
-3.4295,-5.7116,4.7510,0.443036,15.3654
-3.4221,-5.6336,4.8165,0.426332,15.4438
-3.4121,-5.5559,4.8812,0.412040,15.5222
-3.3996,-5.4785,4.9298,0.411465,15.6006
-3.3845,-5.4015,4.9931,0.384510,15.6790
-3.3672,-5.3251,5.0555,0.371449,15.7574
-3.3477,-5.2492,5.1171,0.369017,15.8358
-3.3259,-5.1739,5.1780,0.341350,15.9142
-3.3022,-5.0991,5.2382,0.318058,15.9926
-3.2766,-5.0251,5.2978,0.300619,16.0710
-3.2492,-4.9516,5.3566,0.272355,16.1494
-3.2203,-4.8787,5.4149,0.250056,16.2278
-3.1900,-4.8064,5.4725,0.225932,16.3062
-3.1584,-4.7347,5.5295,0.200826,16.3846
-3.1257,-4.6634,5.5859,0.172403,16.4630
-3.0920,-4.5927,5.6418,0.150088,16.5414
-3.0575,-4.5223,5.6971,0.139989,16.6198
-3.0222,-4.4523,5.7518,0.110482,16.6982
-2.9863,-4.3826,5.8061,0.093456,16.7766
-2.9499,-4.3131,5.8599,0.074972,16.8550
-2.9131,-4.2439,5.9131,0.068029,16.9334
-2.8759,-4.1749,5.9659,0.044420,17.0117
-2.8385,-4.1060,6.0183,0.037578,17.0901
-2.8009,-4.0372,6.0701,0.030585,17.1685
-2.7631,-3.9685,6.1216,0.018888,17.2469
-2.7252,-3.8999,6.1726,0.015594,17.3253
-2.6872,-3.8313,6.2232,0.007895,17.4037
-2.6492,-3.7628,6.2734,0.003104,17.4821
-2.6112,-3.6942,6.3232,0.001965,17.5605
-2.5731,-3.6257,6.3726,0.000266,17.6389
-2.5351,-3.5571,6.4216,0.001141,17.7173
-2.4971,-3.4886,6.4702,0.001096,17.7957
-2.4590,-3.4200,6.5185,0.000890,17.8741
-2.4210,-3.3515,6.5629,0.001386,17.9525
-2.3830,-3.2829,6.5138,0.001750,18.0309
-2.3450,-3.2143,6.4642,0.001680,18.1093
-2.3070,-3.1458,6.4143,0.002913,18.1877
-2.2690,-3.0772,6.3640,0.004681,18.2661
-2.2311,-3.0086,6.3133,0.005203,18.3445
-2.1931,-2.9400,6.2622,0.007173,18.4229
-2.1552,-2.8714,6.2107,0.009966,18.5013
-2.1174,-2.8027,6.1587,0.010942,18.5796
-2.0796,-2.7340,6.1063,0.015873,18.6580
-2.0419,-2.6653,6.0534,0.020540,18.7364
-2.0044,-2.5965,6.0001,0.025061,18.8148
-1.9669,-2.5276,5.9463,0.038057,18.8932
-1.9297,-2.4586,5.8920,0.045733,18.9716
-1.8927,-2.3895,5.8372,0.049536,19.0500
-1.8560,-2.3202,5.7818,0.069776,19.1284
-1.8196,-2.2508,5.7260,0.083734,19.2068
-1.7837,-2.1811,5.6696,0.091593,19.2852
-1.7483,-2.1111,5.6126,0.114170,19.3636
-1.7136,-2.0408,5.5550,0.135973,19.4420
-1.6796,-1.9702,5.4968,0.161145,19.5204
-1.6465,-1.8991,5.4381,0.176753,19.5988
-1.6143,-1.8276,5.3786,0.198347,19.6772
-1.5833,-1.7556,5.3185,0.226452,19.7556
-1.5536,-1.6831,5.2578,0.251164,19.8340
-1.5253,-1.6100,5.1963,0.277979,19.9124
-1.4986,-1.5363,5.1340,0.311503,19.9908
-1.4737,-1.4620,5.0710,0.331823,20.0692
-1.4508,-1.3870,5.0073,0.354597,20.1476
-1.4299,-1.3114,4.9426,0.389720,20.2259
-1.4114,-1.2353,4.8772,0.400117,20.3043
-1.3953,-1.1586,4.8108,0.420954,20.3827
-1.3817,-1.0814,4.7435,0.444420,20.4611
-1.3708,-1.0037,4.7534,0.442577,20.5395
-1.3626,-0.9258,4.7351,0.445999,20.6179
