x_map,y_map,v_target,kappa,s
1.7800,-15.3305,2.1954,1.141099,20.1365
1.8784,-15.2842,2.3101,1.030647,20.2454
1.9711,-15.2272,2.4474,0.839698,20.3542
2.0582,-15.1620,2.5773,0.732631,20.4631
2.1398,-15.0900,2.7011,0.632462,20.5719
2.2162,-15.0125,2.8194,0.536724,20.6807
2.2881,-14.9308,2.9329,0.447587,20.7896
2.3558,-14.8456,3.0422,0.364206,20.8984
2.4201,-14.7578,3.1477,0.289302,21.0073
2.4817,-14.6680,3.2498,0.225241,21.1161
2.5410,-14.5768,3.3488,0.171139,21.2250
2.5986,-14.4844,3.4449,0.125656,21.3338
2.6549,-14.3913,3.5384,0.088778,21.4427
2.7104,-14.2976,3.6295,0.058490,21.5515
2.7652,-14.2036,3.7184,0.032345,21.6604
2.8197,-14.1094,3.8052,0.005774,21.7692
2.8741,-14.0151,3.8901,0.019981,21.8781
2.9288,-13.9210,3.9731,0.046569,21.9869
2.9839,-13.8271,4.0545,0.069828,22.0957
3.0398,-13.7337,4.1342,0.090038,22.2046
3.0965,-13.6408,4.2125,0.104629,22.3134
3.1543,-13.5486,4.2222,0.116556,22.4223
3.2133,-13.4571,4.1573,0.123813,22.5311
3.2735,-13.3664,4.0913,0.128629,22.6400
3.3349,-13.2766,4.0242,0.130884,22.7488
3.3977,-13.1876,3.9560,0.132339,22.8577
3.4617,-13.0996,3.8866,0.132371,22.9665
3.5270,-13.0125,3.8160,0.132742,23.0754
3.5935,-12.9264,3.7440,0.133126,23.1842
3.6612,-12.8412,3.6706,0.133921,23.2931
3.7302,-12.7570,3.5957,0.131508,23.4019
3.8004,-12.6738,3.5192,0.132431,23.5107
3.8718,-12.5917,3.4410,0.111079,23.6196
3.9442,-12.5104,3.3610,0.035659,23.7284
4.0169,-12.4293,3.2790,0.070073,23.8373
4.0890,-12.3478,3.1950,0.175776,23.9461
4.1594,-12.2649,3.1086,0.276212,24.0550
4.2274,-12.1799,3.0198,0.372869,24.1638
4.2919,-12.0922,2.9283,0.468339,24.2727
4.3518,-12.0013,2.8339,0.563505,24.3815
4.4060,-11.9070,2.7362,0.657507,24.4904
4.4533,-11.8091,2.6349,0.748500,24.5992
4.4925,-11.7076,2.5295,0.832466,24.7081
4.5224,-11.6030,2.4195,0.939532,24.8169
4.5414,-11.4958,2.3405,1.004046,24.9257
4.5486,-11.3873,2.3928,0.960646,25.0346
4.5445,-11.2786,2.4266,0.934073,25.1434
4.5293,-11.1709,2.5323,0.857677,25.2523
4.5042,-11.0651,2.6581,0.749571,25.3611
4.4706,-10.9617,2.7783,0.644333,25.4700
4.4297,-10.8608,2.8934,0.549368,25.5788
4.3830,-10.7626,3.0042,0.462720,25.6877
4.3313,-10.6668,3.1110,0.383475,25.7965
4.2757,-10.5733,3.2142,0.312137,25.9054
4.2169,-10.4817,3.3142,0.250300,26.0142
4.1556,-10.3917,3.4113,0.198563,26.1231
4.0924,-10.3031,3.5058,0.154439,26.2319
4.0278,-10.2155,3.5977,0.117350,26.3407
3.9620,-10.1288,3.6873,0.085488,26.4496
3.8954,-10.0427,3.7749,0.057950,26.5584
3.8283,-9.9570,3.8604,0.030401,26.6673
3.7609,-9.8716,3.9441,0.006959,26.7761
3.6935,-9.7861,4.0260,0.055501,26.8850
3.6267,-9.7001,4.1063,0.099748,26.9938
3.5608,-9.6135,4.1851,0.135432,27.1027
3.4962,-9.5259,4.2624,0.164074,27.2115
3.4332,-9.4372,4.3383,0.187138,27.3204
3.3720,-9.3472,4.4130,0.205716,27.4292
3.3128,-9.2558,4.4863,0.222687,27.5380
3.2558,-9.1631,4.5585,0.237767,27.6469
3.2013,-9.0689,4.6296,0.251113,27.7557
3.1494,-8.9732,4.5755,0.261509,27.8646
3.1002,-8.8761,4.5157,0.269721,27.9734
3.0539,-8.7776,4.4798,0.274065,28.0823
3.0105,-8.6778,4.4596,0.276549,28.1911
2.9702,-8.5767,4.4713,0.275103,28.3000
2.9329,-8.4745,4.5437,0.261664,28.4088
2.8985,-8.3712,4.6150,0.233022,28.5177
2.8668,-8.2671,4.6853,0.206714,28.6265
2.8374,-8.1623,4.7545,0.190285,28.7354
2.8102,-8.0569,4.8226,0.176722,28.8442
2.7850,-7.9510,4.8899,0.165678,28.9530
2.7618,-7.8446,4.9562,0.156962,29.0619
2.7403,-7.7379,5.0217,0.147929,29.1707
2.7206,-7.6309,5.0863,0.138294,29.2796
2.7025,-7.5236,5.1501,0.128486,29.3884
2.6859,-7.4160,5.2131,0.120055,29.4973
2.6707,-7.3082,5.2754,0.111149,29.6061
2.6568,-7.2003,5.3369,0.103445,29.7150
2.6441,-7.0922,5.3977,0.094832,29.8238
2.6326,-6.9839,5.4579,0.088106,29.9327
2.6220,-6.8756,5.5174,0.081282,30.0415
2.6125,-6.7672,5.5763,0.074654,30.1504
2.6038,-6.6587,5.6345,0.069111,30.2592
2.5959,-6.5501,5.6922,0.064475,30.3680
2.5888,-6.4415,5.7493,0.060551,30.4769
2.5824,-6.3328,5.8058,0.056920,30.5857
2.5767,-6.2241,5.8618,0.053807,30.6946
2.5717,-6.1154,5.9172,0.051435,30.8034
2.5672,-6.0067,5.9721,0.048809,30.9123
2.5633,-5.8979,6.0266,0.046827,31.0211
2.5600,-5.7891,6.0805,0.045222,31.1300
2.5572,-5.6803,6.0680,0.043646,31.2388
2.5549,-5.5715,6.0230,0.042882,31.3477
2.5531,-5.4626,5.9776,0.042741,31.4565
2.5518,-5.3538,5.9319,0.042091,31.5654
2.5511,-5.2449,5.8859,0.042010,31.6742
2.5508,-5.1361,5.8394,0.043047,31.7830
2.5510,-5.0272,5.7927,0.043985,31.8919
2.5518,-4.9184,5.7455,0.045015,32.0007
2.5531,-4.8096,5.6979,0.047975,32.1096
2.5549,-4.7007,5.6500,0.057082,32.2184
2.5575,-4.5919,5.6016,0.069807,32.3273
2.5608,-4.4831,5.5528,0.078614,32.4361
2.5651,-4.3744,5.5036,0.084557,32.5450
2.5704,-4.2657,5.4539,0.089024,32.6538
2.5768,-4.1570,5.4038,0.092618,32.7627
2.5842,-4.0484,5.3532,0.100014,32.8715
2.5928,-3.9399,5.3021,0.121697,32.9804
2.6029,-3.8315,5.2506,0.147512,33.0892
2.6147,-3.7233,5.1985,0.170009,33.1980
2.6285,-3.6154,5.1459,0.187348,33.3069
2.6445,-3.5077,5.0927,0.199937,33.4157
2.6628,-3.4004,5.0390,0.210645,33.5246
2.6836,-3.2936,4.9847,0.219034,33.6334
2.7070,-3.1873,4.9298,0.226310,33.7423
2.7329,-3.0816,4.8947,0.228582,33.8511
2.7615,-2.9765,4.8388,0.223657,33.9600
2.7926,-2.8722,4.7823,0.222224,34.0688
2.8262,-2.7687,4.7250,0.223870,34.1777
2.8624,-2.6660,4.6671,0.226819,34.2865
2.9010,-2.5643,4.6084,0.231706,34.3954
2.9422,-2.4635,4.5490,0.233523,34.5042
2.9860,-2.3639,4.4888,0.216850,34.6130
3.0321,-2.2653,4.4277,0.195322,34.7219
3.0803,-2.1677,4.3658,0.178756,34.8307
3.1304,-2.0711,4.3030,0.167838,34.9396
3.1822,-1.9753,4.2393,0.162262,35.0484
3.2357,-1.8806,4.1747,0.158743,35.1573
3.2909,-1.7867,4.1090,0.157640,35.2661
3.3476,-1.6938,4.0422,0.156840,35.3750
3.4060,-1.6020,3.9743,0.155424,35.4838
3.4658,-1.5111,3.9052,0.154188,35.5927
3.5272,-1.4212,3.8349,0.153575,35.7015
3.5901,-1.3323,3.7633,0.153369,35.8103
3.6545,-1.2446,3.6903,0.154015,35.9192
3.7203,-1.1579,3.6158,0.153139,36.0280
3.7876,-1.0723,3.5397,0.146341,36.1369
3.8562,-0.9878,3.4620,0.113381,36.2457
3.9258,-0.9042,3.3825,0.030834,36.3546
3.9957,-0.8207,3.3011,0.076448,36.4634
4.0650,-0.7368,3.2176,0.180829,36.5723
4.1325,-0.6514,3.1319,0.280247,36.6811
4.1975,-0.5641,3.0437,0.376014,36.7900
4.2588,-0.4742,2.9530,0.470553,36.8988
4.3154,-0.3812,2.8593,0.563423,37.0077
4.3662,-0.2850,2.7625,0.653623,37.1165
4.4100,-0.1855,2.6622,0.739321,37.2253
4.4457,-0.0827,2.5580,0.816348,37.3342
4.4721,0.0229,2.4493,0.916832,37.4430
4.4879,0.1305,2.3907,0.962320,37.5519
4.4923,0.2392,2.4422,0.922179,37.6607
4.4858,0.3478,2.4926,0.885201,37.7696
4.4690,0.4552,2.6170,0.803068,37.8784
4.4428,0.5608,2.7389,0.694234,37.9873
4.4087,0.6641,2.8557,0.591847,38.0961
4.3680,0.7650,2.9678,0.502443,38.2050
4.3218,0.8636,3.0759,0.423290,38.3138
4.2712,0.9599,3.1803,0.354514,38.4227
4.2169,1.0542,3.2813,0.295963,38.5315
4.1596,1.1467,3.3794,0.248914,38.6403
4.0998,1.2377,3.4747,0.211529,38.7492
4.0379,1.3272,3.5674,0.182050,38.8580
3.9742,1.4155,3.6578,0.157291,38.9669
3.9091,1.5027,3.7460,0.135461,39.0757
3.8426,1.5889,3.8322,0.115683,39.1846
3.7751,1.6743,3.9165,0.097935,39.2934
3.7067,1.7589,3.9990,0.080785,39.4023
3.6375,1.8430,4.0798,0.065906,39.5111
3.5678,1.9265,4.1591,0.049861,39.6200
3.4976,2.0097,4.2369,0.032767,39.7288
3.4270,2.0926,4.2680,0.014303,39.8377
3.3564,2.1754,4.2038,0.005882,39.9465
3.2858,2.2583,4.1386,0.026016,40.0553
3.2155,2.3413,4.0723,0.046087,40.1642
3.1455,2.4247,4.0049,0.066379,40.2730
3.0762,2.5086,3.9364,0.085120,40.3819
3.0076,2.5932,3.8666,0.104564,40.4907
2.9400,2.6785,3.7956,0.119412,40.5996
2.8736,2.7647,3.7232,0.130253,40.7084
2.8083,2.8518,3.6494,0.140204,40.8173
2.7444,2.9399,3.5741,0.146355,40.9261
2.6819,3.0290,3.4971,0.142027,41.0350
2.6208,3.1191,3.4184,0.129581,41.1438
2.5610,3.2100,3.3378,0.110795,41.2527
2.5023,3.3017,3.2553,0.087987,41.3615
2.4444,3.3939,3.1706,0.051910,41.4703
2.3871,3.4864,3.0836,0.006122,41.5792
2.3298,3.5790,2.9940,0.047803,41.6880
2.2721,3.6712,2.9017,0.140251,41.7969
2.2129,3.7626,2.8064,0.253056,41.9057
2.1513,3.8523,2.7077,0.364124,42.0146
